year,month,decimal,average,average_unc,trend,trend_unc
1983,7,1983.542,1625.95,2.26,1635.15,1.45
1983,8,1983.625,1628.06,2.88,1635.66,1.39
1983,9,1983.708,1638.42,2.34,1636.21,1.32
1983,10,1983.792,1644.80,1.50,1636.83,1.24
1983,11,1983.875,1642.60,0.73,1637.52,1.16
1983,12,1983.958,1639.51,0.89,1638.27,1.08
1984,1,1984.042,1638.66,1.95,1639.13,0.98
1984,2,1984.125,1638.75,2.11,1640.00,0.90
1984,3,1984.208,1640.72,1.78,1640.93,0.83
1984,4,1984.292,1643.75,2.06,1641.96,0.76
1984,5,1984.375,1642.89,1.14,1643.03,0.71
1984,6,1984.458,1639.59,0.82,1644.14,0.66
1984,7,1984.542,1637.79,1.01,1645.27,0.63
1984,8,1984.625,1641.36,1.47,1646.43,0.61
1984,9,1984.708,1650.40,1.19,1647.58,0.59
1984,10,1984.792,1654.49,1.45,1648.72,0.59
1984,11,1984.875,1653.67,0.96,1649.85,0.58
1984,12,1984.958,1656.15,1.06,1650.96,0.58
1985,1,1985.042,1655.60,0.96,1652.07,0.58
1985,2,1985.125,1652.22,1.36,1653.11,0.58
1985,3,1985.208,1654.62,1.00,1654.13,0.58
1985,4,1985.292,1658.22,0.83,1655.16,0.59
1985,5,1985.375,1655.86,1.21,1656.18,0.59
1985,6,1985.458,1650.05,1.22,1657.19,0.59
1985,7,1985.542,1646.82,1.17,1658.20,0.60
1985,8,1985.625,1652.24,1.06,1659.22,0.61
1985,9,1985.708,1662.49,0.98,1660.23,0.61
1985,10,1985.792,1667.50,1.16,1661.24,0.62
1985,11,1985.875,1666.79,1.32,1662.27,0.64
1985,12,1985.958,1666.06,1.17,1663.30,0.65
1986,1,1986.042,1666.28,1.18,1664.35,0.67
1986,2,1986.125,1666.90,1.72,1665.36,0.69
1986,3,1986.208,1669.28,1.32,1666.38,0.70
1986,4,1986.292,1670.82,1.37,1667.44,0.72
1986,5,1986.375,1668.43,0.96,1668.51,0.75
1986,6,1986.458,1664.77,1.14,1669.59,0.77
1986,7,1986.542,1662.34,1.13,1670.67,0.78
